sample_id,cell_type,sample_date,viability_pct,total_cells_mio_per_ml,viable_cells_mio_per_ml,team,sample_code,solution_code,replicate,solution,recovery_pct
Crazycells-11,HeLa,19 Feb 2026  12:09:06 PM,92.207794189453125,0.09292760623455047,0.08568727357149124,Crazy Cells,11,1,1,DMSO+FBS,5.8290662293531454
Crazycells-12,HeLa,19 Feb 2026  12:09:06 PM,85.39325714111328,0.10749827156066895,0.0917208803987503,Crazy Cells,12,1,2,DMSO+FBS,6.239515673384374
Crazycells-13,HeLa,19 Feb 2026  12:10:03 PM,85.10638427734375,0.11353188583850861,0.09654776884078979,Crazy Cells,13,1,3,DMSO+FBS,6.567875431346244
Cryomasters-11,HeLa,19 Feb 2026  12:10:08 PM,81.37255096435547,0.12318566272258759,0.10025793889760971,Cryo Masters,11,1,1,DMSO+FBS,6.820267952218348
Cryomasters-12,HeLa,19 Feb 2026  12:10:28 PM,83.16831970214844,0.12197893688678742,0.10146465728282929,Cryo Masters,12,1,2,DMSO+FBS,6.9023576382877065
Cryomasters-13,HeLa,19 Feb 2026  12:10:31 PM,81.37255096435547,0.12318566272258759,0.10025793889760971,Cryo Masters,13,1,3,DMSO+FBS,6.820267952218348
Crazycells-21,HeLa,19 Feb 2026  12:10:32 PM,80.89888000488281,0.10749827156066895,0.08689399195671081,Crazy Cells,21,2,1,Sucrose+FBS,5.911155915422504
Crazycells-22,HeLa,19 Feb 2026  12:10:47 PM,76,0.12077221850156784,0.0917208803987503,Crazy Cells,22,2,2,Sucrose+FBS,6.239515673384374
Crazycells-23,HeLa,19 Feb 2026  12:10:51 PM,73.417724609375,0.09534105045557022,0.0699998824095726,Crazy Cells,23,2,3,Sucrose+FBS,4.761896762555959
Cryomasters-21,HeLa,19 Feb 2026  12:29:52 PM,76.66666412353516,0.10870499739646912,0.08327382935047149,Cryo Masters,21,2,1,Sucrose+FBS,5.6648863503722104
Cryomasters-22,HeLa,19 Feb 2026  12:30:10 PM,86.36363983154297,0.07965365929365158,0.06879316402435302,Cryo Masters,22,2,2,Sucrose+FBS,4.6798070764866
Cryomasters-23,HeLa,19 Feb 2026  12:30:15 PM,69.8795166015625,0.10025793889760971,0.0699998824095726,Cryo Masters,23,2,3,Sucrose+FBS,4.761896762555959
Crazycells-31,HeLa,19 Feb 2026  12:35:07 PM,60,0.012077221105098724,0.0072503331287205215,Crazy Cells,31,3,1,PBS only,0.4932199407292872
Crazycells-32,HeLa,19 Feb 2026  12:35:15 PM,66.66666412353516,0.010870498994588852,0.0072503331287205215,Crazy Cells,32,3,2,PBS only,0.4932199407292872
Crazycells-33,HeLa,19 Feb 2026  12:47:24 PM,40,0.006043610552549362,0.002423444221019745,Crazy Cells,33,3,3,PBS only,0.16486015108977856
Cryomasters-31,HeLa,19 Feb 2026  12:46:55 PM,75,0.004836888442039489,0.003630166564360261,Cryo Masters,31,3,1,PBS only,0.24695010641906537
Cryomasters-32,HeLa,19 Feb 2026  12:47:07 PM,33.33333206176758,0.003630166564360261,0.0012167221105098725,Cryo Masters,32,3,2,PBS only,0.08277021159931106
Cryomasters-33,HeLa,19 Feb 2026  12:47:07 PM,100,0.004836888442039489,0.004836888442039489,Cryo Masters,33,3,3,PBS only,0.32904003007071353
